dateid01	hstarts	ur
2010-07-01	550	9.5000000
2010-08-01	606	9.6000004
2010-09-01	597	9.6000004
2010-10-01	539	9.6999998
2010-11-01	551	9.8000002
2010-12-01	526	9.3999996
2011-01-01	636	9.0000000
2011-02-01	518	8.8999996
2011-03-01	593	8.8000002
2011-04-01	549	9.0000000
2011-05-01	553	9.1000004
2011-06-01	615	9.1999998
2011-07-01	615	9.1000004
2011-08-01	572	9.1000004
2011-09-01	658	9.1000004
